Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00004951:22G:K10B3.10, spc-1:WAGO	K10B3.10, spc-1	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00004997:NA:spp-12, T22G5.7:unk	spp-12, T22G5.7	2	18	1	1	C1	0	1	Control
22G	Gene:WBGene00005078:22G:F49B2.5, src-2:WAGO	F49B2.5, src-2	2	14	5	1	C1	1	0	Control
22G	Gene:WBGene00005191:22G:srg-34, Y51A2D.12:WAGO	srg-34, Y51A2D.12	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00005191:22G:srg-34, Y51A2D.12:WAGO	srg-34, Y51A2D.12	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00005257:22G:M02H5.10, srh-34:WAGO	M02H5.10, srh-34	2	12	1	1	C1	0	1	Control
22G	Gene:WBGene00005257:22G:M02H5.10, srh-34:WAGO	M02H5.10, srh-34	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00005387:22G:srh-171, Y60A3A.5:WAGO	srh-171, Y60A3A.5	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00005387:22G:srh-171, Y60A3A.5:WAGO	srh-171, Y60A3A.5	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00006130:22G:str-68, Y73C8C.6:WAGO	str-68, Y73C8C.6	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00006364:22G:F59F5.6, syd-2:WAGO	F59F5.6, syd-2	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00006374:22G:syx-4, T01B11.3:CSR	syx-4, T01B11.3	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00006431:22G:C02F12.4, tag-52:CSR	C02F12.4, tag-52	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00006434:22G:F09E5.15, prdx-2:CSR	F09E5.15, prdx-2	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00006436:22G:ttn-1, W06H8.8:ERGO, WAGO	ttn-1, W06H8.8	2	2	13	1	C1	1	0	Control
22G	Gene:WBGene00006436:22G:ttn-1, W06H8.8:ERGO, WAGO	ttn-1, W06H8.8	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00006495:22G:cpna-1, F31D5.3:WAGO	cpna-1, F31D5.3	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00006495:22G:cpna-1, F31D5.3:WAGO	cpna-1, F31D5.3	2	6	1	1	C1	1	0	Control
